s_id;name
50002141;Bydgoszcz Leœna
50002151;Bydgoszcz £êgnowo
50002161;Bydgoszcz Osowa Góra
50002171;Bydgoszcz Wschód
50002181;Bydgoszcz Zachód
50002194;Cekcyn
50002204;Che³mce
50002213;Che³m¿a
50002224;Chmielniki Bydgoskie
50002234;Ciechocinek
50002244;Cieksyn
50002251;Cierpice
50002264;Cierpice K¹kol
50002274;Czermno
50002284;Czerniewice
50002294;Czernikowo
50002304;Czersk Œwiecki
50002314;Dalanówek
50002324;D¹bie nad Nerem
50002334;D¹browa Che³miñska
50002344;D¹browy
50002354;Dobrzejewice
50002364;Dragacz
50002374;Drzycim
50002384;Dubielno
50002394;Firlus
50002404;G³uchowo
50002413;Gniewkowo
50002424;Go³aszewo Kujawskie
50002434;Gorzuchowo Che³miñskie
50002444;Gozdowo
50002454;Górna Grupa
50002464;Grêbocin
50002472;Grudzi¹dz
50002484;Grudzi¹dz Mniszek
50002494;Grudzi¹dz Owczarki
50002503;Grudzi¹dz Przedmieœcie
50002514;Grupa
50002524;Grzybno
50002534;Grzywna
50002544;Gzin
50002552;Inowroc³aw
50002564;Inowroc³aw M¹twy
50002574;Inowroc³aw R¹binek
50002582;Jab³onowo Pomorskie
50002594;Jadwi¿yn
50002604;Jaksice
50002613;Janikowo
50002624;Jastrzêbie Pomorskie
50002634;Je¿ewo
50002644;Kaczorowo
50002654;Kaliska Kujawskie
50002664;Kamionki Jezioro
50002674;Karczyn
50002684;Karnkowo
50002694;Ko³odziejewo
50002704;Konojady
50002714;Konotopie
50002724;Kornatowo
50002734;Koœcielec Kujawski
50002741;Kotomierz
50002753;Kowalewo Pomorskie
50002764;Koziebrody
50002774;Kozio³ek
50002784;Kretki
50002794;Kruszwica
50002804;Ksi¹¿ki
50002814;Kwiatki
50002824;Laski Tucholskie
50002832;Laskowice Pomorskie
50002844;Leosia
50002854;Linowo
50002864;Lipie Góry
50002874;Lipienica
50002884;Lipinki
50002893;Lipno
50002904;Lipowa Tucholska
50002914;Lipowa Wschodnia
50002924;Lniano
50002934;Lubania-Lipiny
50002943;Lubanie
50002954;Lubicz
50002964;£¹¿ek
50002971;£ysomice
50002981;Maksymilianowo
50002994;Ma³e Gacno
50003003;Me³no
50003014;Mieszaki
50003023;Mogilno
50003034;Najmowo
50003043;Nak³o nad Noteci¹
50003054;Nawra
50003064;Nicwa³d
50003073;Nieszawa Waganiec
50003084;Nowa Wieœ Wielka
50003094;Obrowo
50003104;Odolion
50003114;Ograszka
50003123;Osie
50003131;Ostaszewo Toruñskie
50003143;Ostromecko
50003154;Ostrowite ko³o Jab³onowa
50003164;Ostrowy
50003174;Ot³oczyn
50003184;Pakoœæ
50003191;Papowo Toruñskie
50003204;Parlin
50003214;Paw³ówek
50003224;Piastoszyn
50003234;Piechcin
50003244;Piotrków Kujawski
50003253;P³oñsk
50003264;Podwierzbie
50003274;Ponêtów
50003284;Pr¹docin
50003294;Proboszczewice P³ockie
50003303;Pruszcz Pomorski
50003311;Przy³ubie
50003324;Puszcza Rz¹dowa
50003333;Raci¹¿
50003344;RogóŸno Pomorskie
50003354;Rosochatka
50003364;Ro¿niaty
50003374;Rutkowice
50003384;Rychnowo Wielkie
50003391;Rynkowo Wiadukt
50003404;Samostrzel
50003413;Serock
50003423;Sierpc
50003434;Skêpe
50003441;Solec Kujawski
50003454;Stronno
50003464;Suchatówka
50003474;Susk
50003484;Szczutowo
50003494;Szlachta
50003504;Œlesin
50003514;Œliwice
50003524;Œliwiczki
50003533;Œwiekatowo
50003543;Terespol Pomorski
50003554;Tleñ
50003564;Toruñ Czerniewice
50003570;Toruñ G³ówny
50003581;Toruñ Kluczyki
50003591;Toruñ Miasto
50003601;Toruñ Wschodni
50003611;Trzciniec
50003623;Tuchola
50003631;Turzno
50003644;Turzno Kujawskie
50003654;Twarda Góra
50003663;Unis³aw Pomorski
50003674;Wa³dowo Szlacheckie
50003684;Wapienno Przystanek
50003694;Warlubie
50003704;Warz¹chewka
50003713;W¹brzeŸno
50003724;Wierzchos³awice
50003733;Wierzchucin
50003744;Wierzchucin Stary
50003754;Wiêc³awice
50003764;Wiktorowo
50003774;Wkra
50003782;W³oc³awek
50003793;W³oc³awek Zazamcze
50003804;Wroc³awki
50003814;Wudzyn
50003824;Zaroœle
50003834;Zaryñ
50003844;Zawidz
50003854;Zawidz Koœcielny
50003864;Zieleñ
50003874;Zielonczyn
50003884;Zielonka Pomorska
50003894;Z³otniki Kujawskie
50003904;¯alno
30003911;Bêdzin
30003921;Bêdzin Ksawera
30003931;Bêdzin Miasto
30003944;Blachownia
30003954;Chruszczobród
30003964;Ciasna
30003970;Czêstochowa
30003984;Czêstochowa Anio³ów
30003994;Czêstochowa Gnaszyn
30004003;Czêstochowa Raków
30004013;Czêstochowa Stradom
30004021;D¹browa Górnicza
30004031;D¹browa Górnicza Go³onóg
30004041;D¹browa Górnicza Pogoria
30004054;D¹browa Górnicza Po³udniowa
30004061;D¹browa Górnicza Sikorka
30004073;D¹browa Górnicza Strzemieszyce
30004083;D¹browa Górnicza Wschodnia
30004091;D¹browa Górnicza Z¹bkowice
30004104;Herby Stare
30004114;Jacków
30004124;Julianka
30004133;K³omnice
30004144;Kochanowice
30004153;Koniecpol
30004164;Koniecpol Magdasz
30004173;Korwinów
30004183;Koszêcin
30004194;Kusiêta Nowe
30004204;Lisowice
30004214;Lisów
30004222;Lubliniec
30004234;Lus³awice
30004243;£azy
30004254;Mas³oñskie Natalin
30004262;Myszków
30004274;Myszków Mrzyg³ód
30004284;Myszków Nowa Wieœ
30004294;Myszków Œwiatowit
30004304;Pawonków
30004314;Podlesie
30004323;Poraj
30004334;Rudniki ko³o Czêstochowy
30004344;Rusinowice
30004353;Rzerzêczyce
30004364;Sieraków Œl¹ski
30004373;S³awków
30004384;Staropole Czêstochowskie
30004394;Turów
30004404;Widzów Teklinów
30004414;Wiesió³ka
30004422;Zawiercie
30004433;Zawiercie Borowe Pole
30004443;¯arki-Letnisko
50004454;Babi Dó³
50004464;B¹k
50004474;BêdŸmierowice
50004484;Bia³ki
50004494;Borkowo
50004503;Bo¿epole Wielkie
50004514;Brachlewo
50004523;Brusy
50004534;Bukowo Cz³uchowskie
50004544;Bytonia
50004553;Cha³upy
50004562;Chojnice
50004574;Cieplewo
50004584;Czarlin
50004593;Czarna Woda
50004603;Czersk
50004614;D¹brówka Malborska
50004624;Dziemiany Kaszubskie
50004634;Dzier¿¹¿no
50004644;Dziwno
50004654;Fiszewo
50004664;Garczegorze
50004674;Garczyn
50004684;Gardeja
50004694;Gdakowo
50004700;Gdañsk G³ówny
50004711;Gdañsk Lipce
50004721;Gdañsk Oliwa
50004731;Gdañsk Orunia
50004741;Gdañsk Osowa
50004751;Gdañsk Stadion Expo
50004761;Gdañsk Wrzeszcz
50004771;Gdynia Chylonia
50004780;Gdynia G³ówna
50004794;Gdynia Karwiny
50004801;Gdynia Or³owo
50004814;Gdynia Stadion
50004821;Gdynia Wielki Kack
50004834;Godêtowo
50004843;Go³ubie Kaszubskie
50004853;Goœcicino Wejherowskie
50004864;Goœciszewo
50004874;Gronajny
50004884;Grzêpa
50004894;Gutowiec
50004902;Hel
50004913;Jastarnia
50004924;Jastarnia Wczasy
50004933;Jurata
50004943;Kaliska
50004954;Kalisz Kaszubski
50004964;Kamienna Karczma
50004974;Karsin
50004984;Kartuzy
50004994;Kie³pino Kartuskie
50005002;Koœcierzyna
50005014;Krojanty
50005024;Królewo Malborskie
50005034;Krzeszna
50005044;Kulice Tczewskie
50005053;KuŸnica (Hel)
50005062;Kwidzyn
50005072;Lêbork
50005083;Lêbork Mosty
50005094;Lêbork Nowy Œwiat
50005104;Lêdziechowo
50005114;Lipuska Huta
50005123;Lipusz
50005134;Lisewo
50005144;Lubnia
50005153;Luzino
50005164;£¹g
50005174;£¹g Po³udniowy
50005183;£eba
50005194;£ubiana
50005204;Majewo
50005212;Malbork
50005224;Malbork Ka³dowo
50005234;Mêcika³
50005244;Miko³ajki Pomorskie
50005254;Mi³ob¹dz
50005264;Mleczewo
50005274;Morzeszczyn
50005284;Moszczenica Pomorska
50005294;Mrzezino
50005304;Nowa Wieœ Lêborska
50005314;Olpuch
50005324;Olpuch Wdzydze
50005333;Pelplin
50005344;Pêpowo Kartuskie
50005354;Piesienice
50005364;Pinczyn
50005374;Podleœ
50005384;Powa³ki
50005392;Prabuty
50005401;Pruszcz Gdañski
50005413;Pszczó³ki
50005423;Puck
50005434;Rac³awki
50005444;Raduñ
50005451;Reda
50005461;Reda Pieleszewo
50005474;Reda Rekowo
50005481;Rêbiechowo
50005494;Rokitki Tczewskie
50005504;Ró¿yny
50005511;Rumia
50005523;Ryjewo
50005534;Rytel
50005544;Rytel Wieœ
50005554;Sadlinki
50005564;Silno
50005574;Skorzewo
50005584;Skowarcz
50005594;S³awki
50005604;Smêtowo
50005613;Somonino
50005621;Sopot
50005634;Stare Pole
50005643;Starogard Gdañski
50005654;Steknica
50005664;Stogi Malborskie
50005673;Strzebielino Morskie
50005684;Subkowy
50005694;Subkowy Centrum
50005704;Swaro¿yn
50005714;Swarzewo
50005724;Sza³amaje
50005734;Szpêgawsk
50005743;Sztum
50005754;Sztumska Wieœ
50005764;Szymankowo
50005772;Tczew
50005781;Wejherowo
50005791;Wejherowo Œmiechowo
50005801;Wejherowo-Nanice
50005814;Wierzchowo Cz³uchowskie
50005824;Wie¿yca
50005832;W³adys³awowo
50005844;W³adys³awowo Port
50005854;Wojtal
50005864;Wrzeœcie
50005874;Zblewo
50005884;¯abno ko³o Chojnic
50005894;¯elistrzewo
50005904;¯ukowo
50005913;¯ukowo Wschodnie
20005924;Berezów
20005933;Bukowa
20005944;Busko-Zdrój
20005954;Czarnca
20005964;Górki Szczukowskie
20005973;Jêdrzejów
20005980;Kielce
20005993;Kielce Bia³ogon
20006003;Kielce Herbskie
20006013;Kielce Piaski
20006024;Kielce S³owik
20006033;Kielce Œlichowice
20006044;Klimontów
20006054;Kostom³oty
20006063;Koz³ów
20006074;Krzciêcice
20006084;Ludynia
20006094;Ludynia Dwór
20006104;£¹czna
20006114;Ma³ogoszcz
20006124;Mi¹sowa
20006134;Piekoszów
20006144;Potok
20006154;Radkowice
20006163;Rykoszyn
20006173;Sêdziszów
20006184;Sitkówka Nowiny
20006194;Sobków
20006203;Suchedniów
20006214;Suchedniów Pó³nocny
20006224;Tumlin
20006234;Wierna Rzeka
20006243;W³oszczowa
20006253;W³oszczowa Pó³noc
20006264;Wolica
20006274;Zagnañsk
20006284;¯elis³awice
30006291;Balin
30006301;Baranówka
30006314;Biadoliny
30006322;Bochnia
30006334;Bogumi³owice
30006342;Brzesko Okocim
30006353;Brzeszcze
30006364;Brzeszcze Jawiszowice
30006374;BrzeŸnica
30006383;Bukowno
30006394;Bukowno Przymiarki
30006404;Charsznica
30006413;Che³mek Fabryka
30006423;Chrzanów
30006433;Chrzanów Œródmieœcie
30006444;Chrz¹stowice Olkuskie
30006454;Cikowice
30006464;Czarna Tarnowska
30006471;Dulowa
30006484;Dwory
30006494;Dziadówki
30006504;Gajówka
30006513;Gorzów Chrzanowski
30006521;Goszcza
30006534;Grabiny
30006544;Jaroszowiec Olkuski
30006554;Jasieñ Brzeski
30006564;Jaœkowice
30006574;Jawiszowice JaŸnik
30006584;Je¿ówka
30006594;Kamieñczyce
30006603;K³aj
30006611;Kokotów
30006621;Kraków Batowice
30006631;Kraków Bie¿anów
30006641;Kraków Bie¿anów Dro¿d¿ownia
30006651;Kraków Bonarka
30006661;Kraków Bronowice
30006671;Kraków Business Park
30006680;Kraków G³ówny
30006691;Kraków Lotnisko
30006701;Kraków £agiewniki
30006711;Kraków £obzów
30006721;Kraków M³ynówka
30006731;Kraków Mydlniki
30006741;Kraków Mydlniki Wapiennik
30006751;Kraków Olsza
30006761;Kraków Olszanica
30006771;Kraków P³aszów
30006781;Kraków Podgórze
30006791;Kraków Podgórze P2
30006801;Kraków Prokocim
30006811;Kraków Sanktuarium
30006821;Kraków Sidzina
30006831;Kraków Swoszowice
30006841;Kraków Zab³ocie
30006851;Kraków Zakliki
30006861;Krzeszowice
30006873;Libi¹¿
30006881;£uczyce
30006893;Miechów
30006901;NiedŸwiedŸ
30006913;Olkusz
30006922;Oœwiêcim
30006934;Podbory Skawiñskie
30006941;Pod³ê¿e
30006954;Pó³wieœ
30006964;Przeciszów
30006971;Rudawa
30006984;Ryczów
30006994;Rzezawa
30007001;Skawina
30007014;Skawina Zachodnia
30007023;S³omniki
30007031;S³omniki Miasto
30007044;Smroków
30007054;Spytkowice
30007064;Spytkowice Kêpki
30007074;Stani¹tki
30007084;Stanis³awice
30007094;Sterkowiec
30007104;Szarów
30007114;Szczepanowice
30007122;Tarnów
30007133;Tarnów Moœcice
30007142;Trzebinia
30007153;Tunel
30007164;Wa³ki
30007171;Wêgrzce Wielkie
30007181;Wieliczka Bogucice
30007191;Wieliczka Park
30007201;Wieliczka Rynek-Kopalnia
30007214;Wielkie Drogi
30007224;W³osienica
30007231;Wola Filipowska
30007243;Wola Rzêdziñska
30007253;Wolbrom
30007261;Zabierzów
30007274;Zarzecze
30007281;Zastów
30007294;Zator
30007304;Zelczyna
20007314;Baranów Sandomierski
20007323;Be³¿ec
20007334;Be³¿ec Drugi
20007344;Bi³goraj
20007354;Biskupice
20007364;Borowina
20007374;BrzeŸnica Bychawska
20007384;BrzeŸno
20007394;Bystrzyca ko³o Lublina
20007402;Che³m
20007414;Che³m Cementownia
20007423;Che³m Miasto
20007434;Chmielów
20007444;Chmielów Zagumnie
20007454;Ciecierzyn
20007464;Ciosmy
20007474;Cygany
20007484;Czes³awice
20007494;D¹browica ko³o Bi³goraja
20007504;D¹browica Ma³opolska
20007514;Dêba Rozalin
20007522;Dêblin
20007534;D³ugi K¹t
20007544;Dominów
20007553;Dorohusk
20007563;Garwolin
20007574;Golce
20007584;Go³¹b
20007594;Grabniak
20007604;Grabów Szlachecki
20007614;Grêbów
20007624;Gródek
20007634;Hordzie¿ka
20007644;Hrebenne
20007654;Hrubieszów Miasto
20007664;Huta Derêgowska
20007674;Huta Krzeszowska
20007684;Izbica
20007694;Jadachy
20007704;Jaszczów
20007714;Józefów Roztoczañski
20007724;Kanie
20007734;Karolinówka
20007744;Kêpa
20007754;Klemensów
20007764;Klementowice
20007774;K³y¿ów
20007784;Krasnystaw Fabryczny
20007793;Krasnystaw Miasto
20007803;Kraœnik
20007814;Krê¿nica Jara
20007824;Krzywda
20007834;Leokadia
20007844;Leopoldów
20007854;Leœniczówka
20007864;Lipa
20007873;Lubartów
20007884;Lubartów Lipowa
20007894;Lubartów S³owackiego
20007900;Lublin
20007914;Lublin Ponikwoda
20007921;Lublin Pó³nocny
20007931;Lublin Zachodni
20007944;Lublin Zadêbie
20007953;Lublin Zemborzyce
20007964;Lubycza Królewska
20007974;£askarzew Przystanek
20007984;£opatki
20007994;Majdan
20008004;Majdan Stuleñski
20008014;Mazi³y
20008024;Mi¹czyn
20008034;Mika
20008044;Mi³ocin Lubelski
20008054;Minkowice
20008064;Mokre
20008074;Moskale
20008084;Motycz
20008094;Motycz Leœny
20008103;Na³êczów
20008114;Niedrzwica
20008124;Niedrzwica Koœcielna
20008134;Niemce
20008143;Nisko
20008154;Nisko Osiedle
20008164;Nisko Podwolina
20008174;Nisko Rac³awice
20008184;Nowa Dêba
20008194;Nowiny
20008204;Ocice
20008214;Okrzeja
20008224;Okuninka Bia³e
20008234;Pa³ecznica
20008244;Parczew
20008254;Parczew Kolejowa
20008263;Pilchów
20008274;Podzamcze
20008284;Polichna Kraœnicka
20008294;Potok Kraœnicki
20008304;Po¿óg
20008314;Pu³ankowice
20008324;Pu³awy
20008334;Pu³awy Azoty
20008344;Pu³awy Chemia
20008352;Pu³awy Miasto
20008364;Radzyñ Podlaski
20008373;Rejowiec
20008384;Rokitnia Stara
20008394;Ruda Talubska
20008404;Ruda-Huta
20008414;Ruda-Opalin
20008424;Rudnik
20008434;Ruskie Piaski
20008444;Ryki
20008454;Rzeczyca
20008464;Rzeczyca-Kolonia
20008474;Sadurki
20008484;Sarnów
20008494;Siedliska Tomaszowskie
20008504;Skopanie
20008514;Sobibór
20008524;Sobolew
20008534;Sobów
20008543;Stalowa Wola
20008552;Stalowa Wola Centrum
20008564;Stalowa Wola Po³udnie
20008573;Stalowa Wola Rozwadów
20008584;Stasin Polny
20008594;Stulno
20008604;Sulów
20008614;Susiec
20008624;Szastarka
20008634;Szczebrzeszyn
20008641;Œwidnik Miasto
20008651;Œwidnik Wschód
20008664;Tar³o
20008673;Tarnobrzeg
20008684;Tarnowska Wola
20008694;Tarzymiechy
20008704;Tereszpol Bi³gorajski
20008714;Trawniki
20008724;Turbia
20008734;Uhrusk
20008744;Uhrusk Przystanek
20008754;Wandzin
20008764;Werbkowice
20008774;Wielowieœ
20008784;Wilko³az
20008794;Wilko³az Wieœ
20008804;W³odawa
20008814;Wola Rowska
20008824;Wólka Kañska
20008834;Wólka Niedzieliska
20008844;Wólka Okopska
20008854;Wólka Or³owska
20008864;Wygoda
20008874;Zabiele
20008884;Zagrody Koœció³
20008894;Zaklików
20008904;Zalesie Krasieñskie
20008913;Zamoœæ
20008924;Zamoœæ Starówka
20008934;Zamoœæ Wschód
20008944;Zarzeka
20008954;Zawada
20008964;Zawadówka
20008974;Zbydniów
20008984;Z³ojec
20008994;Zwierzyniec
20009004;¯ulin
20009014;¯yczyn
10009023;Baby
10009031;Bedoñ
10009044;Be³chów
10009054;Bobrowniki
10009064;Bobry
10009074;Borszewice
10009084;Bratoszewice
10009094;Chech³o
10009104;Chociszew
10009114;Chrusty Nowe
10009124;D¹browice Skierniewickie
10009134;Dobroñ
10009144;Dobryszyce ko³o Radomska
10009154;Domaniewice
10009164;Domaniewice Centrum
10009171;Ga³kówek
10009184;Gawrony
10009194;Glinnik
10009204;Glinnik Wieœ
10009213;G³owno
10009223;Gomunice
10009233;Gorzêdów
10009243;Gorzkowice
10009254;Grotniki
10009264;Grudze
10009274;Jarosty
10009281;Justynów
10009294;Kamieñ £owicki
10009303;Kamieñsk
10009314;K³udna
10009323;Kolumna
10009332;Koluszki
10009344;Kraski
10009353;Krosnowa
10009363;Lipce Reymontowskie
10009371;Lublinek
10009384;Luci¹¿anka
10009393;£ask
10009404;£aznów
10009413;£êczyca
10009421;£ódŸ Andrzejów
10009431;£ódŸ Arturówek
10009441;£ódŸ Chojny
10009451;£ódŸ D¹browa
10009460;£ódŸ Kaliska
10009471;£ódŸ Marysin
10009481;£ódŸ Niciarniana
10009494;£ódŸ Olechów Wschód
10009501;£ódŸ Pabianicka
10009514;£ódŸ Radogoszcz Zachód
10009521;£ódŸ Stoki
10009531;£ódŸ Widzew
10009541;£ódŸ ¯abieniec
10009553;Maków
10009564;Milejów
10009574;Mokra
10009583;Moszczenica
10009594;Otok
10009603;Ozorków
10009611;Ozorków Nowe Miasto
10009621;Pabianice
10009632;Piotrków Trybunalski
10009643;P³yæwia
10009654;Poddêbice
10009664;Przy³êk Du¿y
10009672;Radomsko
10009683;Rogów
10009693;Rokiciny
10009704;Rozprza
10009714;Sierakowice Skierniewickie
10009724;Sierpów
10009732;Skierniewice
10009743;Skierniewice Rawka
10009754;Skrzynki
10009764;S³otwiny
10009774;Smardzew
10009783;Stryków
10009794;Swêdów
10009804;Szadek
10009814;W¹gry
10009824;Wilkoszewice
10009834;Witonia
10009844;Wolbórka
10009854;Wykno
10009864;Zaosie
10009872;Zduñska Wola
10009884;Zduñska Wola Karsznice
10009894;Zduñska Wola Po³udniowa
10009901;Zgierz
10009911;Zgierz Jaracza
10009924;Zgierz Kontrewers
10009934;Zgierz Pó³noc
10009941;¯akowice
10009951;¯akowice Po³udniowe
30009963;Andrychów
30009974;Andrychów Górnica
30009984;Andrzejówka
30009994;Barcice
30010004;Barwa³d Górny
30010014;Barwa³d Œredni
30010023;Bia³y Dunajec
30010034;Biecz
30010044;Bobowa
30010053;Bobowa-Miasto
30010064;Bogoniowice Ciê¿kowice
30010074;Bulowice
30010084;Bystra Podhalañska
30010093;Chabówka
30010104;Chocznia
30010114;Chocznia Górna
30010124;Chojnik
30010134;Chomranice
30010144;Dobra ko³o Limanowej
30010154;Gorlice
30010164;Gorlice Glinik
30010174;Gorlice Zagórzany
30010184;Gromnik
30010193;Grybów
30010204;Hucisko
30010214;Inwa³d
30010224;Jankowa
30010233;Jordanów
30010244;Juszczyn
30010254;Kalwaria Zebrzydowska
30010263;"Kalwaria Zebrzydowska
Lanckorona"
30010274;Kamionka Wielka
30010284;Kasina Wielka
30010293;Kêty
30010304;Kêty Podlesie
30010314;Klecza Dolna
30010324;Klecza Górna
30010334;Klêczany
30010344;K³okowa
30010354;Kojszówka
30010363;Krynica-Zdrój
30010374;Kurów Suski
30010384;Lachowice
30010394;Lachowice Centrum
30010404;Lasek
30010414;Leluchów
30010424;Leñcze
30010434;Libusza
30010444;Limanowa
30010454;Lubaszowa
30010463;£omnica-Zdrój
30010474;£ososina Górna
30010484;£owczów
30010494;£owczówek Pleœna
30010503;Maków Podhalañski
30010514;Marcinkowice
30010524;Mêcina
30010534;Mêcina Podgórze
30010544;Milik
30010554;M³odów
30010564;Moszczenica Ma³opolska
30010574;Mszalnica
30010584;Mszana Dolna
30010594;Mszana Dolna Marki
30010603;Muszyna
30010614;Muszyna Poprad
30010624;Muszyna Zdrój
30010632;Nowy S¹cz
30010644;Nowy S¹cz Biegonice
30010654;Nowy S¹cz Che³miec
30010664;Nowy S¹cz Jamnica
30010674;Nowy S¹cz Miasto
30010682;Nowy Targ
30010694;Osielec
30010704;Piekie³ko
30010714;Pisarzowa
30010724;Piwniczna
30010734;Piwniczna-Zdrój
30010744;P³awna
30010754;Podolany
30010764;Polna
30010773;Poronin
30010784;PowroŸnik
30010794;Przytkowice
30010804;Ptaszkowa
30010814;Pyzówka
30010824;Raba Ni¿na
30010834;Raba Wy¿na
30010844;Rabka Zaryte
30010853;Rabka-Zdrój
30010864;Radziszów
30010874;Radziszów Centrum
30010884;Rokiciny Podhalañskie
30010894;Rytro
30010904;Rzozów
30010914;Siedliska ko³o Tuchowa
30010924;Sieniawa
30010934;Skawa
30010944;Skawa Œrodkowa
30010954;Skrzydlna
30010964;Stary S¹cz
30010974;Stronie
30010983;Stró¿e
30010994;Stryszawa
30011004;Stryszów
30011013;Sucha Beskidzka
30011024;Sucha Beskidzka Zamek
30011033;Szaflary
30011044;Szaflary Wieœ
30011054;Szalowa
30011063;Tuchów
30011074;Tymbark
30011083;Wadowice
30011094;Wierchomla Wielka
30011104;Wilczyska
30011114;Wola £u¿añska
30011124;Wola Radziszowska
30011132;Zakopane
30011144;Zamek Bulowicki
30011154;Zembrzyce
30011164;Zubrzyk
30011174;¯egiestów
30011184;¯egiestów-Zdrój
50011194;Bajtkowo
50011203;Barczewo
50011214;Bart¹g
50011224;Bartosze
50011234;Bartoszyce
50011244;Bia³a ko³o Piszu
50011254;Biesal
50011264;Bogaczewo
50011273;Braniewo
50011284;Bujaki
50011294;Bukwa³d
50011304;Burkat
50011314;Bzowiec
50011324;Cerkiewnik
50011332;Ciechanów
50011344;Ciechanów Przemys³owy
50011354;Czeruchy
50011364;Czerwonka
50011373;Dobre Miasto
50011384;Dobrocin
50011394;Dobrzyñ
50011404;Dryga³y
50011412;Dzia³dowo
50011422;Elbl¹g
50011432;E³k
50011444;E³k Szyba Wschód
50011454;E³k Szyba Zachód
50011464;E³k Zachód
50011474;Gamerki Wielkie
50011484;G¹g³awki
50011493;G¹socin
50011502;Gi¿ycko
50011514;Godki
50011523;Go³otczyzna
50011534;Górowo
50011544;Gralewo
50011554;Grodzie
50011564;Grom
50011574;Gronowo Elbl¹skie
50011584;GryŸliny
50011593;Gutkowo
50011604;Hartowiec
50011614;Henrykowo
50011622;I³awa G³ówna
50011633;I³awa Miasto
50011644;I³owo
50011654;Jackowo Dworskie
50011664;Jamielnik
50011674;Jarzêbiec
50011684;Jeglia
50011694;Jeruty
50011704;Jonkowo
50011714;Kaliszki
50011724;Ka³êczyn
50011734;K¹tne
50011742;Kêtrzyn
50011754;Klewki
50011764;Kolonia
50011774;Komorowo ¯u³awskie
50011784;Konopki
50011793;Korsze
50011804;Kozia Góra
50011814;Koz³owo
50011824;Kroœnice Mazowieckie
50011834;Linkowo
50011844;Lipiñskie Ma³e
50011854;Lubajny
50011864;Lubomino
50011874;£ankiejmy
50011884;£êgajny
50011894;Ma³dyty
50011904;Marcinkowo
50011914;Martiany
50011922;M³awa
50011933;M³awa Miasto
50011944;Montowo
50011953;Mor¹g
50011964;Mor¹g Kolonia
50011974;Narzym
50011984;Naterki
50011993;Nidzica
50012004;Niegocin
50012014;Nowa Wieœ Cierpkie
50012024;Nowa Wieœ E³cka
50012034;Nowy M³yn
50012044;Odoje
50012054;Olecko
50012061;Olsztyn Dajtki
50012070;Olsztyn G³ówny
50012081;Olsztyn Œródmieœcie
50012091;Olsztyn Zachodni
50012103;Olsztynek
50012114;Olszyny
50012123;Orneta
50012134;Orzysz
